modelo,fase,target,columna_target,feature,rol,n,sd_target,rango_rel_sd,forma,forma_pd,x_extremo,teoria,tipo_teorico,concuerda,comentario
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,basicidad_B2_prev,STATE,1743,3019.52,0.1344,óptimo interior (mínimo),no monótona compleja,0.4965,optimo interior (~1.4) en Fusion,optimo_interior,sí,"optimo interior detectado, como se esperaba; ALE vs PD: PD dice 'no monótona compleja'; fracpos_shap[0,-1]=(0.38,0.60)"
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,temperatura_horno_celsius_prev,STATE,1743,3019.52,0.0772,óptimo interior (mínimo),óptimo interior (mínimo),1135.0194,"+ (cinetica, viscosidad) dentro de la ventana",mono+,no,"signo opuesto al esperado; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.55,0.85)"
Fusión_sn_kg_default,Fusión,sn_kg,sn_extraido_est_kg,frac_carga_secundaria,DERIVED_CONTROL,1743,3019.52,0.222,no monótona compleja,no monótona compleja,0.7145,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.30,0.83)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,feed_Sn_kgf,ACTION_PLAN,1743,3019.52,2.3091,monótona +,monótona +,15604.1558,"+ (ACTION de plan, mas Sn cargado en el escalon)",mono+,sí,"monotona + como se esperaba; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,sn_inventario_escoria_est_kg_prev,STATE,1743,3019.52,0.22,óptimo interior (mínimo),no monótona compleja,1271.1438,+ (fuerza impulsora de la reaccion),mono+,no,"signo opuesto al esperado; ALE vs PD: PD dice 'no monótona compleja'; fracpos_shap[0,-1]=(0.27,0.99)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,masa_escoria_est_kg_prev,STATE,1743,3019.52,0.2094,no monótona compleja,óptimo interior (máximo),213794.3993,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'óptimo interior (máximo)'; fracpos_shap[0,-1]=(0.00,0.27)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,feo_inventario_escoria_est_kg_prev,STATE,1743,3019.52,0.7617,monótona +,monótona +,15081.1428,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,ley_sn_escoria_pct_prev,STATE,1743,3019.52,0.1673,no monótona compleja,monótona +,6.473,+ (fuerza impulsora de la reaccion),mono+,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: PD dice 'monótona +'; fracpos_shap[0,-1]=(0.00,0.98)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,interaccion_C_x_Sn_prev,DERIVED_CONTROL,1743,3019.52,0.1481,óptimo interior (máximo),óptimo interior (máximo),1023.3956,"Fusion: + (misma reserva que carbon; efecto propio fragil, ver DML 14.5)",mono+_debil,sí,"efecto + presente (teoria lo esperaba debil); ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,0.14)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,tasa_feed_Carbon_kg_min,CONTROL,1743,3019.52,0.091,óptimo interior (mínimo),óptimo interior (mínimo),51.7219,Fusion: + pero el efecto propio no se identifica separado de la carga en DML conjunto (hallazgos 14.5) -- se espera + debil o plano,mono+_debil,no,"signo opuesto al esperado (aun siendo 'debil'); ALE vs PD: coincide; fracpos_shap[0,-1]=(0.90,0.93)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,relacion_CaO_carga,DERIVED_CONTROL,1743,3019.52,0.2239,no monótona compleja,monótona -,0.0326,"- (dilucion de la escoria, menor actividad relativa) en Fusion",mono-,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: PD dice 'monótona -'; fracpos_shap[0,-1]=(0.94,0.19)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,tasa_gn_nm3_min,CONTROL,1743,3019.52,0.2108,no monótona compleja,no monótona compleja,32.0508,+ (calor + gas reductor) con meseta termica,mono+_sat,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.36,0.82)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,exceso_o2_combustion_pct,DERIVED_CONTROL,1743,3019.52,0.0651,óptimo interior (mínimo),óptimo interior (mínimo),18.8624,"~0 en Fusion (regimen oxidante ya dado, no debiera dominar)",sin_restriccion,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.70,0.81)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,basicidad_B2_prev,STATE,1743,3019.52,0.1119,no monótona compleja,no monótona compleja,0.2544,optimo interior (~1.4) en Fusion,optimo_interior,parcial,"no monotona pero sin un unico optimo interior limpio (posible ruido); ALE vs PD: coincide; fracpos_shap[0,-1]=(0.53,0.53)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,temperatura_horno_celsius_prev,STATE,1743,3019.52,0.076,óptimo interior (mínimo),óptimo interior (mínimo),1003.8881,"+ (cinetica, viscosidad) dentro de la ventana",mono+,no,"signo opuesto al esperado; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.57,0.94)"
Fusión_sn_kg_libre,Fusión,sn_kg,sn_extraido_est_kg,frac_carga_secundaria,DERIVED_CONTROL,1743,3019.52,0.2323,no monótona compleja,no monótona compleja,0.7145,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.33,0.81)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,feed_Sn_kgf,ACTION_PLAN,1743,3019.52,2.1241,monótona +,monótona +,15604.1558,"+ (ACTION de plan, mas Sn cargado en el escalon)",mono+,sí,"monotona + como se esperaba; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,sn_inventario_escoria_est_kg_prev,STATE,1743,3019.52,0.2942,no monótona compleja,no monótona compleja,18869.3397,+ (fuerza impulsora de la reaccion),mono+,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.04,1.00)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,masa_escoria_est_kg_prev,STATE,1743,3019.52,0.2327,no monótona compleja,no monótona compleja,213794.3993,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,0.90)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,feo_inventario_escoria_est_kg_prev,STATE,1743,3019.52,0.485,no monótona compleja,no monótona compleja,15081.1428,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,ley_sn_escoria_pct_prev,STATE,1743,3019.52,0.1312,monótona +,monótona +,26.9269,+ (fuerza impulsora de la reaccion),mono+,sí,"monotona + como se esperaba; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.01,1.00)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,interaccion_C_x_Sn_prev,DERIVED_CONTROL,1743,3019.52,0.1772,monótona +,monótona +,1083.5952,"Fusion: + (misma reserva que carbon; efecto propio fragil, ver DML 14.5)",mono+_debil,sí,"efecto + presente (teoria lo esperaba debil); ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,tasa_feed_Carbon_kg_min,CONTROL,1743,3019.52,0.0629,monótona +,plana,62.7895,Fusion: + pero el efecto propio no se identifica separado de la carga en DML conjunto (hallazgos 14.5) -- se espera + debil o plano,mono+_debil,sí,"efecto + presente (teoria lo esperaba debil); ALE vs PD: PD dice 'plana'; fracpos_shap[0,-1]=(0.00,1.00)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,relacion_CaO_carga,DERIVED_CONTROL,1743,3019.52,0.1244,monótona +,óptimo interior (mínimo),0.1553,"- (dilucion de la escoria, menor actividad relativa) en Fusion",mono-,no,"signo opuesto al esperado; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.69,0.81)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,tasa_gn_nm3_min,CONTROL,1743,3019.52,0.1124,no monótona compleja,no monótona compleja,32.0508,+ (calor + gas reductor) con meseta termica,mono+_sat,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.19,0.51)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,exceso_o2_combustion_pct,DERIVED_CONTROL,1743,3019.52,0.0508,óptimo interior (mínimo),plana,18.7774,"~0 en Fusion (regimen oxidante ya dado, no debiera dominar)",sin_restriccion,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'plana'; fracpos_shap[0,-1]=(0.70,0.60)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,basicidad_B2_prev,STATE,1743,3019.52,0.0599,no monótona compleja,no monótona compleja,0.2544,optimo interior (~1.4) en Fusion,optimo_interior,parcial,"no monotona pero sin un unico optimo interior limpio (posible ruido); ALE vs PD: coincide; fracpos_shap[0,-1]=(0.63,0.39)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,temperatura_horno_celsius_prev,STATE,1743,3019.52,0.0677,óptimo interior (máximo),óptimo interior (mínimo),1083.7259,"+ (cinetica, viscosidad) dentro de la ventana",mono+,parcial,"sube y luego cae (posible sobre-ajuste o efecto real de saturacion/reversion); ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.60,0.84)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,frac_carga_secundaria,DERIVED_CONTROL,1743,3019.52,0.2371,no monótona compleja,óptimo interior (mínimo),0.7145,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.70,0.82)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,posicion_vertical_lanza_mm_prev,STATE,1743,3019.52,0.0778,óptimo interior (máximo),plana,2020.2006,no monotona: valle 3300-4200mm en d%Sn (hallazgos 12) -> pico de kg extraidos en esa zona,optimo_interior,sí,"optimo interior detectado, como se esperaba; ALE vs PD: PD dice 'plana'; fracpos_shap[0,-1]=(0.79,0.28)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,duracion_plan_min,CONTROL,1743,3019.52,0.2593,no monótona compleja,óptimo interior (mínimo),67.5,+ con rendimientos decrecientes (cinetica 1er orden): concava,concava,parcial,"forma no coincide con concava clara; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.03,0.83)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,tasa_feed_CaO_kg_min,CONTROL,1743,3019.52,0.4143,monótona -,monótona -,51.0737,"- (dilucion de la escoria, menor T) en Fusion",mono-,sí,"monotona - como se esperaba; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.97,0.02)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,relacion_C_Sn_carga,DERIVED_CONTROL,1743,3019.52,0.0598,óptimo interior (mínimo),óptimo interior (mínimo),0.3012,"familia carbon (dosis relativa al Sn cargado): + saturante, solo aplica con carga fresca",mono+_sat,no,"signo opuesto al esperado; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.95,0.35)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,tasa_o2_nm3_min,CONTROL,1743,3019.52,0.1455,óptimo interior (mínimo),óptimo interior (mínimo),47.0245,primitiva de la lanza; la teoria se formula sobre exceso_o2_combustion_pct (derivada),no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.96,0.93)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,tasa_aire_nm3_min,CONTROL,1743,3019.52,0.0402,plana,plana,121.2721,primitiva de la lanza; la teoria se formula sobre exceso_o2_combustion_pct (derivada),no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.41,0.63)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,oxygen_enrichment_pct,DERIVED_CONTROL,1743,3019.52,0.0476,plana,plana,43.3126,~0 en Fusion (analogo a exceso_o2),sin_restriccion,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,0.78)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,ley_feo_escoria_pct_prev,STATE,1743,3019.52,0.1709,monótona +,monótona +,18.4697,ambiguo (baja actividad de SnO pero matriz mas fluida): sin restriccion,sin_restriccion,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,0.97)"
Fusión_sn_kg_pool_amplio,Fusión,sn_kg,sn_extraido_est_kg,avance_reduccion_sn_prev,STATE,1743,3019.52,0.0704,no monótona compleja,óptimo interior (mínimo),0.9547,no en la tabla teorica; extrapolado de hallazgos 14.5 (SHAP -0.96): - (queda menos Sn removible),mono-,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.83,0.94)"
Reducción_sn_kg_default,Reducción,sn_kg,sn_extraido_est_kg,sn_inventario_escoria_est_kg_prev,STATE,1074,3794.31,2.2391,monótona +,monótona +,14846.271,+ (fuerza impulsora de la reaccion),mono+,sí,"monotona + como se esperaba; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Reducción_sn_kg_default,Reducción,sn_kg,sn_extraido_est_kg,masa_escoria_est_kg_prev,STATE,1074,3794.31,0.1141,no monótona compleja,no monótona compleja,118221.3506,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,0.86)"
Reducción_sn_kg_default,Reducción,sn_kg,sn_extraido_est_kg,ley_sn_escoria_pct_prev,STATE,1074,3794.31,0.4344,monótona +,no monótona compleja,21.6297,+ (fuerza impulsora de la reaccion),mono+,sí,"monotona + como se esperaba; ALE vs PD: PD dice 'no monótona compleja'; fracpos_shap[0,-1]=(0.00,0.77)"
Reducción_sn_kg_default,Reducción,sn_kg,sn_extraido_est_kg,ley_feo_escoria_pct_prev,STATE,1074,3794.31,0.0329,plana,óptimo interior (mínimo),18.6843,ambiguo (baja actividad de SnO pero matriz mas fluida): sin restriccion,sin_restriccion,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.66,0.54)"
Reducción_sn_kg_default,Reducción,sn_kg,sn_extraido_est_kg,tasa_feed_Carbon_kg_min,CONTROL,1074,3794.31,0.0413,plana,plana,26.7939,"+ (SnO2+2C->Sn), saturante al agotarse el Sn removible",mono+_sat,no,"el modelo no aprendio efecto (rango < 5% sd) pese a teoria +; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Reducción_sn_kg_default,Reducción,sn_kg,sn_extraido_est_kg,interaccion_C_x_Sn_prev,DERIVED_CONTROL,1074,3794.31,0.3143,monótona +,monótona +,1361.7371,familia carbon: + saturante (interaccion carbon x inventario Sn),mono+_sat,sí,"monotona + como se esperaba; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Reducción_sn_kg_default,Reducción,sn_kg,sn_extraido_est_kg,duracion_plan_min,CONTROL,1074,3794.31,0.0027,plana,plana,22.5,+ con rendimientos decrecientes (cinetica 1er orden): concava,concava,parcial,"forma no coincide con concava clara; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.96,0.00)"
Reducción_sn_kg_default,Reducción,sn_kg,sn_extraido_est_kg,tasa_gn_nm3_min,CONTROL,1074,3794.31,0.1065,no monótona compleja,no monótona compleja,28.8218,+ (calor + gas reductor) con meseta termica,mono+_sat,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,0.79)"
Reducción_sn_kg_default,Reducción,sn_kg,sn_extraido_est_kg,exceso_o2_combustion_pct,DERIVED_CONTROL,1074,3794.31,0.0513,óptimo interior (máximo),plana,-5.8676,- en Reduccion (atmosfera oxidante frena la reduccion),mono-,no,"signo opuesto al esperado; ALE vs PD: PD dice 'plana'; fracpos_shap[0,-1]=(0.81,0.00)"
Reducción_sn_kg_default,Reducción,sn_kg,sn_extraido_est_kg,temperatura_horno_celsius_prev,STATE,1074,3794.31,0.0494,plana,plana,1077.9412,"+ (cinetica, viscosidad) dentro de la ventana",mono+,no,"el modelo no aprendio efecto (rango < 5% sd) pese a teoria +; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.53,0.85)"
Reducción_sn_kg_libre,Reducción,sn_kg,sn_extraido_est_kg,sn_inventario_escoria_est_kg_prev,STATE,1074,3794.31,2.2213,monótona +,monótona +,14846.271,+ (fuerza impulsora de la reaccion),mono+,sí,"monotona + como se esperaba; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Reducción_sn_kg_libre,Reducción,sn_kg,sn_extraido_est_kg,masa_escoria_est_kg_prev,STATE,1074,3794.31,0.1038,monótona +,plana,118221.3506,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'plana'; fracpos_shap[0,-1]=(0.00,0.90)"
Reducción_sn_kg_libre,Reducción,sn_kg,sn_extraido_est_kg,ley_sn_escoria_pct_prev,STATE,1074,3794.31,0.4501,monótona +,no monótona compleja,21.6297,+ (fuerza impulsora de la reaccion),mono+,sí,"monotona + como se esperaba; ALE vs PD: PD dice 'no monótona compleja'; fracpos_shap[0,-1]=(0.00,0.88)"
Reducción_sn_kg_libre,Reducción,sn_kg,sn_extraido_est_kg,ley_feo_escoria_pct_prev,STATE,1074,3794.31,0.0356,plana,óptimo interior (mínimo),18.6843,ambiguo (baja actividad de SnO pero matriz mas fluida): sin restriccion,sin_restriccion,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.52,0.81)"
Reducción_sn_kg_libre,Reducción,sn_kg,sn_extraido_est_kg,tasa_feed_Carbon_kg_min,CONTROL,1074,3794.31,0.1038,no monótona compleja,no monótona compleja,65.9272,"+ (SnO2+2C->Sn), saturante al agotarse el Sn removible",mono+_sat,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.69,0.24)"
Reducción_sn_kg_libre,Reducción,sn_kg,sn_extraido_est_kg,interaccion_C_x_Sn_prev,DERIVED_CONTROL,1074,3794.31,0.3288,no monótona compleja,monótona +,1361.7371,familia carbon: + saturante (interaccion carbon x inventario Sn),mono+_sat,parcial,"forma compleja, sin monotonia limpia; ALE vs PD: PD dice 'monótona +'; fracpos_shap[0,-1]=(0.00,0.99)"
Reducción_sn_kg_libre,Reducción,sn_kg,sn_extraido_est_kg,duracion_plan_min,CONTROL,1074,3794.31,0.0001,plana,plana,22.5,+ con rendimientos decrecientes (cinetica 1er orden): concava,concava,parcial,"forma no coincide con concava clara; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.41,0.00)"
Reducción_sn_kg_libre,Reducción,sn_kg,sn_extraido_est_kg,tasa_gn_nm3_min,CONTROL,1074,3794.31,0.1188,monótona +,no monótona compleja,28.8218,+ (calor + gas reductor) con meseta termica,mono+_sat,sí,"monotona + como se esperaba; ALE vs PD: PD dice 'no monótona compleja'; fracpos_shap[0,-1]=(0.00,0.75)"
Reducción_sn_kg_libre,Reducción,sn_kg,sn_extraido_est_kg,exceso_o2_combustion_pct,DERIVED_CONTROL,1074,3794.31,0.0405,plana,plana,-5.0019,- en Reduccion (atmosfera oxidante frena la reduccion),mono-,no,"el modelo no aprendio efecto (rango < 5% sd) pese a teoria -; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.97,0.01)"
Reducción_sn_kg_libre,Reducción,sn_kg,sn_extraido_est_kg,temperatura_horno_celsius_prev,STATE,1074,3794.31,0.0473,plana,plana,1077.9412,"+ (cinetica, viscosidad) dentro de la ventana",mono+,no,"el modelo no aprendio efecto (rango < 5% sd) pese a teoria +; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.27,0.75)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,sn_inventario_escoria_est_kg_prev,STATE,1074,3794.31,1.6166,monótona +,monótona +,14846.271,+ (fuerza impulsora de la reaccion),mono+,sí,"monotona + como se esperaba; ALE vs PD: coincide; fracpos_shap[0,-1]=(0.00,1.00)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,masa_escoria_est_kg_prev,STATE,1074,3794.31,0.127,monótona +,no monótona compleja,118221.3506,no cubierta explicitamente por la tabla teorica de ITERACION_4_diseno.md (feature estructural/de contexto); se reporta como auditoria exploratoria,no_cubierta,n/a,"sin prediccion falsable en la tabla teorica; ALE vs PD: PD dice 'no monótona compleja'; fracpos_shap[0,-1]=(0.00,0.96)"
Reducción_sn_kg_pool_amplio,Reducción,sn_kg,sn_extraido_est_kg,ley_sn_escoria_pct_prev,STATE,1074,3794.31,0.3768,monótona +,óptimo interior (mínimo),21.6297,+ (fuerza impulsora de la reaccion),mono+,sí,"monotona + como se esperaba; ALE vs PD: PD dice 'óptimo interior (mínimo)'; fracpos_shap[0,-1]=(0.00,0.87)"
