id,fase,unidad,direccion,agg,num,den,teoria,fuente,familia,nota
R17_dT,Reducción,C,0,sum,,,Cambio de temperatura del bano (suma = T_fin - T_ini). Exploratorio: sin signo a priori.,Guia 19,termico,
R18_T_ventana,Reducción,-|T - P50|,1,twmean,,,Cercania a la ventana termica (P50 de la fase): lejos de ella sube volatilizacion o baja cinetica/viscosidad.,"Guia 8, 19; consideraciones 44.6",termico,
R19_T_gas_bhf,Reducción,C,-1,twmean,,,Temperatura de gases pre-BHF: proxy de arrastre/fume (canal polvo). Minimizar.,Guia 22,polvo,
R20_fe_metalizado_por_sn,Reducción,kg Fe/kg Sn cargado,-1,sum,,,Fe metalizado por kg de Sn cargado: dross de Fe especifico (normaliza el FeO reducido por el tamano del batch).,"Guia 6, 7.4",sobre-reduccion,
F01_sn_ext,Fusión,kg Sn,-1,sum,,,Sn extraido prematuramente en Fusion (lambda_F: -0.13 kg metal/kg): conservar el Sn como SnO2 en la escoria. Minimizar.,hallazgos 14.6,conservacion,
F02_frac_sn_ext,Fusión,fraccion del Sn cargado,-1,ratio,sn_ext,feed_Sn_kgf,Fraccion del Sn cargado en el escalon que sale de la escoria; batch = sum Sn extraido / sum Sn cargado (~ avance al fin de Fusion). Minimizar.,hallazgos 14.6 (F_avance_final),conservacion,
F03_feo_formado,Fusión,kg FeO,1,sum,,,FeO incorporado a la escoria (Fe de mineral/dross que se oxida a FeO y no se metaliza); suma = FeO al fin de Fusion.,"Guia 7.4, 9.5",matriz,
F04_feo_ret_por_fe,Fusión,kg FeO/kg corriente Fe,1,ratio,d_feo_inv,fe_feed_kg,FeO retenido en escoria por kg de corriente ferrifera (t4 mineral + t5 dross) cargada: rendimiento de escorificacion del Fe.,Guia 7.4,matriz,
F05_ley_feo_next,Fusión,%FeO,1,last,,,%FeO de la escoria al cierre: matriz fayalitica fluida y reserva de FeO que protege de la sobre-reduccion; ultimo = fin de Fusion.,Guia 7.4; hallazgos 14.6,matriz,
F06_B2_ventana,Fusión,-|B2 - 1.4|,1,last,,,Cercania de la basicidad a su optimo interior (viscosidad/liquidus) al fin de Fusion.,"Guia 7.7, 8",matriz,
F07_T_media,Fusión,C,-1,twmean,,,Temperatura del bano: mas T -> mas volatilizacion de SnO y polvo (beta_T de v4). Minimizar dentro de rango.,exp 19; Guia 4.3,termico,
F08_T_ventana,Fusión,-|T - P50|,1,twmean,,,Cercania a la ventana termica de Fusion.,"Guia 8, 19",termico,
F09_T_gas_bhf,Fusión,C,-1,twmean,,,Temperatura de gases pre-BHF: proxy de arrastre/fume. Minimizar.,Guia 22,polvo,
F10_irf_next,Fusión,IRF,1,last,,,Indice IRF de planta (FeO / (SiO2+Al2O3+CaO)) al fin de Fusion (+0.22 con rendimiento en 14.6).,hallazgos 14.6,matriz,
F11_log_sn_feo_next,Fusión,log(%Sn/%FeO),1,last,,,Reserva de SnO2 relativa al FeO al fin de Fusion: alta = la Reduccion arranca con fuerza impulsora de Sn y ventana selectiva amplia.,Guia 3.3,conservacion,
F12_d_log_sn_feo,Fusión,d log(%Sn/%FeO),1,sum,,,Enriquecimiento del log-ratio Sn/FeO durante el escalon (suma telescopica).,consideraciones 26.1,conservacion,
F13_masa_por_carga,Fusión,kg escoria/kg carga,0,ratio,d_masa_escoria_est_kg,feed_total_kgh,Escoria formada por kg de carga (dilucion/volumen de escoria). Exploratorio.,Guia 7.1,matriz,
F14_sn_ret_por_c,Fusión,kg Sn ret/kg C,1,ratio,sn_ret,c_kg,"Sn retenido en escoria por kg de carbon: el carbon de Fusion debe fundir/reducir SnO2 en exceso sin extraer Sn (C/Sn baja dross, exp 19).",exp 19,conservacion,
F15_dT,Fusión,C,0,sum,,,Cambio de temperatura (exploratorio).,Guia 19,termico,
F16_sn_ret_frac,Fusión,fraccion,1,ratio,sn_inv_fin,feed_sn_F,Fraccion del Sn disponible que permanece en la escoria al cierre; batch = Sn fin Fusion / Sn cargado (cociente de sumas).,hallazgos 14.6,conservacion,
R21_ln_feo_ret,Reducción,ln(kg/kg),1,sum,,,"Retencion logaritmica de FeO en la escoria, ln(FeO_inv[t]/FeO_inv[t-1]) (la masa del trazador se cancela); suma = ln(FeO_fin/FeO_ini).","Guia 5.2-5.3, 7.4; ST-05/06",sobre-reduccion,
R22_sdi,Reducción,adimensional,1,sum,,,"GANADOR Reduccion: indice de agotamiento selectivo SDI = ln(Sn_inv[t-1]/Sn_inv[t]) + w*ln(FeO_inv[t]/FeO_inv[t-1]), w=10 (DEV); suma telescopica = ln(Sn_ini/Sn_fin) + w*ln(FeO_fin/FeO_ini). Agotar Sn (cinetica 1er orden) sin metalizar Fe.","Guia 3.3, 11.3; ST-05/06",selectividad,
R23_lnirf_R,Reducción,ln(IRF),1,twmean,,,RONDA 2 (ST-09/ST-12): ln IRF = ln(%FeO/(%SiO2+%Al2O3+%CaO)) al cierre de cada escalon de Reduccion (matriz de escoria durante la Reduccion = estado heredado x retencion de FeO); agregacion = media ponderada por tiempo (estado intensivo). Replica en DEV y lockbox; responde a GN (-) y O2 (+).,"Guia 7.4, 5.5; ST-12",matriz,
