id,fase,unidad,direccion,agg,num,den,teoria,fuente,familia,nota
TH01_sobrecal_resid_R,Reducción,C,0,twmean,,,"Sobrecalentamiento proxy: T_bano - T_esperada segun composicion, con T_esperada de un OLS T ~ B2 + %FeO + %SiO2 + %Al2O3 + %CaO AJUSTADO SOLO EN DEV, por fase (evita fuga hacia lockbox). No es liquidus real (no hay dato termodinamico), es la T tipica historica para esa matriz; residuo alto = mas caliente de lo usual para esa composicion. Sin signo a priori: Guia 5.6 describe una VENTANA de sobrecalentamiento, no un maximo/minimo.",Guia 5.6; ST-09,termico,
TH02_sobrecal_resid_F,Fusión,C,0,twmean,,,"Igual que TH01, con el OLS ajustado en los escalones de Fusion de DEV.",Guia 5.6; ST-09,termico,
TH03_sobrecal_ventana_R,Reducción,-C,1,twmean,,,"Version 'ventana' de TH01: -|residuo|, cercania al sobrecalentamiento tipico de esa composicion (coherente con la lectura de ventana de Guia 5.6, en vez de forzar mas o menos T).",Guia 5.6; ST-09,termico,
PV01_T_precuchilla_R,Reducción,C,-1,twmean,,,"Temperatura de gases pre-cuchilla: sensor downstream, proxy de carga termica / estado del tren de gases (consid. 22.3). Minimizar (media ponderada por tiempo).",consideraciones 22.3; ST-09,polvo,
PV02_T_precuchilla_F,Fusión,C,-1,twmean,,,Igual que PV01 en Fusion.,consideraciones 22.3; ST-09,polvo,
PV03_delta_T_gas_R,Reducción,C,0,twmean,,,"Delta T entre pre-BHF y pre-cuchilla (T_bhf - T_cuchilla): mayor delta = mas enfriamiento/reaccion en el tramo del tren de gases. Signo practico ambiguo (mas enfriamiento puede ser deposito/incrustacion -malo- o intercambio termico normal -neutro-, consid. 22.3-22.4): exploratorio.",consideraciones 22.3-22.4; ST-09,polvo,
PV04_gas_total_por_carga_R,Reducción,Nm3/kg,-1,ratio,gas_total_nm3,feed_total_kgh,"Gas total inyectado por la lanza (GN+O2+aire, Nm3 del escalon) por kg de carga total del escalon (misma convencion que F13 de st_targets.py: feed_total_kgh como proxy de kg de carga). Mas gas por unidad de carga = mas intensidad/arrastre mecanico (consid. 22.2). Minimizar.",consideraciones 22.2; Guia 22; ST-09,polvo,
PV05_gas_total_por_carga_F,Fusión,Nm3/kg,-1,ratio,gas_total_nm3,feed_total_kgh,Igual que PV04 en Fusion.,consideraciones 22.2; ST-09,polvo,
PV06_fume_intensidad_R,Reducción,Nm3*exp(-E/RT),-1,sum,,,"Intensidad de fume = gas_total * exp(-E/(R*T_K)), E/R = 30000 K (declarado, forma funcional de Arrhenius para presion de vapor / cinetica de volatilizacion, Guia 3.5 y 4.3; NO calibrado a una especie concreta de Sn). Suma = exposicion acumulada de la fase. Minimizar.","Guia 3.5, 4.3; ST-09",polvo,
PV07_fume_intensidad_F,Fusión,Nm3*exp(-E/RT),-1,sum,,,Igual que PV06 en Fusion.,"Guia 3.5, 4.3; ST-09",polvo,
PV08_tiro_ventana_R,Reducción,-pct,1,twmean,,,"Cercania del tiro de horno a su valor tipico (mediana de DEV en la fase): tanto muy poco como demasiado tiro son indeseables (consid. 21.1-21.2) y no hay un optimo unico documentado -- version 'ventana', no monotonica en el propio tiro.",consideraciones 21.1-21.3; ST-09,polvo,
CP01_sdi_heel2b,Reducción,adimensional,1,batch_especial,,,"SDI de dos batches: promedio del SDI del propio batch (st_R22_sdi, ganador ST-05/06, tomado de st_batch.csv) y el SDI del batch CRONOLOGICAMENTE ANTERIOR (heel de escoria que la Reduccion previa hereda hacia la Fusion siguiente, hallazgo ST-05). No es una agregacion escalon->batch: es una combinacion directa de dos valores ya agregados por batch (shift(1) sobre idx_cronologico); no se recalcula bajo ruido Monte Carlo (hereda la sensibilidad al ruido de R22, ya caracterizada en st_04/README).",ST-05 hallazgo heel; ST-09,compuesto,
CP02_sdi_fusion_log,Fusión,ln(kg/kg),1,ratio_log,feo_ganado_fe_eq,fe_feed_kg,"SDI extendido a Fusion: ln( FeO ganado en base Fe / Fe cargado ) = ln(cociente de sumas) -- retencion logaritmica de FeO respecto al Fe cargado, analogo del componente de FeO del SDI de Reduccion (ln_feo_ret) pero aplicado a la fase de FORMACION de escoria.",ST-05/06 SDI; Guia 7.4; ST-09,compuesto,
CP03_sdi_beta_irf,Reducción,adimensional,1,sum,,,"SDI (ln(Sn_prev/Sn) + 10*ln(FeO/FeO_prev), mismo w que el ganador R22) + beta*IRF anadido SOLO en el ULTIMO escalon valido de la fase, beta=1.0 (declarado, sin ajustar por barrido): premia terminar la Reduccion agotando Sn selectivamente Y con una matriz FeO-rica (heel de matriz para la Fusion siguiente).",ST-05/06 SDI; hallazgos 14.6; ST-09,compuesto,
